zip_code,year,month,avg
10005,2013,5,1101674.29411765
10005,2013,6,885798.714285714
10005,2013,7,1058150.64705882
10005,2013,8,865403.1
10005,2013,9,915076.923076923
10005,2013,10,1207967.03703704
10005,2013,11,911785.714285714
10005,2013,12,1044363.8125
10005,2014,1,1063484.31578947
10005,2014,2,848247.428571429
10005,2014,3,961656.076923077
10005,2014,4,1764331.31578947
10005,2014,5,942431.923076923
10005,2014,6,911228.214285714
10005,2014,7,1232758.82352941
10005,2014,8,1143632.25
10005,2014,9,1073636.36363636
10005,2014,10,958681.818181818
10005,2014,11,1158500
10006,2003,1,6125000
10006,2003,3,0
10006,2003,12,0
10006,2004,2,0
10006,2004,6,636406
10006,2004,10,97800000
10006,2005,3,618150
10006,2005,12,3500000
10006,2006,1,4335000
10006,2006,5,8000000
10006,2006,6,1385255.05
10006,2006,7,590800.611111111
10006,2006,8,612853.076923077
10006,2006,9,691137.5
10006,2006,10,654225.25
10006,2006,11,649617.777777778
10006,2006,12,1021453
10006,2007,1,814600
10006,2007,2,642000
10006,2007,3,627023.357142857
10006,2007,4,572256
10006,2007,5,4900000
10006,2007,6,415446
10006,2007,8,903138.684210526
10006,2007,9,763450.139534884
10006,2007,10,714443.741935484
10006,2007,11,765806.538461538
10006,2007,12,852424.3
10006,2008,1,917805.35
10006,2008,2,735621.428571429
10006,2008,3,864731.214285714
10006,2008,4,880794.125
10006,2008,5,2129898.33333333
10006,2008,6,808606.4375
10006,2008,7,694537.428571429
10006,2008,8,729537.833333333
10006,2008,9,642065.333333333
10006,2008,10,689775.333333333
10006,2008,11,525000
10006,2008,12,900000
10006,2009,1,1200000
10006,2009,2,0
10006,2009,3,428023.333333333
10006,2009,4,640000
10006,2009,5,477000
10006,2009,7,541006.857142857
10006,2009,8,742333.333333333
10006,2009,9,626666.666666667
10006,2009,10,594598.916666667
10006,2009,11,626333.333333333
10006,2009,12,532541.416666667
10006,2010,1,584240.076923077
10006,2010,2,749794.666666667
10006,2010,3,457890
10006,2010,4,711625
10006,2010,5,627436.625
10006,2010,6,614075.2
10006,2010,7,464260
10006,2010,8,685000
10006,2010,9,609397.666666667
10006,2010,10,708737.5
10006,2010,11,601166.666666667
10006,2010,12,322333.333333333
10006,2011,1,1066887.6
10006,2011,2,505400
10006,2011,3,1241955.5
10006,2011,4,366716.5
10006,2011,5,591389.916666667
10006,2011,6,932872.230769231
10006,2011,7,1099358.4
10006,2011,9,1271508.8
10006,2011,10,1089040
