zip_code,year,avg
10031,2010,816674.215686274
10031,2011,1051470.34693878
10031,2012,1465969.35151515
10031,2013,2030362.29767442
10031,2014,1907787.39726027
10032,2003,1190990.24528302
10032,2004,1889101.87378641
10032,2005,1740038.61538462
10032,2006,1714858.95959596
10032,2007,2805332.24137931
10032,2008,892144.782178218
10032,2009,638545.739130435
10032,2010,1770944.7
10032,2011,1820784.82608696
10032,2012,2639467.22988506
10032,2013,3044374.18888889
10032,2014,1903353
10033,2003,1086622.10769231
10033,2004,1837130.21875
10033,2005,1299335.92
10033,2006,3035608.43076923
10033,2007,3644095.5
10033,2008,2319263.75471698
10033,2009,1056818.18181818
10033,2010,2825792.31034483
10033,2011,923306.530612245
10033,2012,2874791.20289855
10033,2013,1320370.2688172
10033,2014,3936733.92857143
10034,2003,1468539.69230769
10034,2004,2022471.12820513
10034,2005,1812520.10204082
10034,2006,1451153.75862069
10034,2007,1850479.92
10034,2008,1958916.78571429
10034,2009,1678748.33333333
10034,2010,2017112.22222222
10034,2011,1025572.85714286
10034,2012,2284257.62068966
10034,2013,3320585.59090909
10034,2014,2227919.14705882
10035,2003,502319.921052632
10035,2004,722879.082089552
10035,2005,1080864.11494253
10035,2006,1312687.80722892
10035,2007,1338059.79807692
10035,2008,589859.416666667
10035,2009,810017.367346939
10035,2010,450274.311827957
10035,2011,628360.263565891
10035,2012,801101.212121212
10035,2013,344209.469230769
10035,2014,2711036.35211268
10036,2003,2166971.43373494
10036,2004,1037930
10036,2005,3752800
10036,2006,869855.183833116
10036,2007,1241906.12103746
10036,2008,625333.581322141
10036,2009,888883.377777778
10036,2010,1017575.2687747
10036,2011,1101666.85781991
10036,2012,661174.63064833
10036,2013,1799855.63868613
10036,2014,1318801.93434343
10037,2003,155982.785714286
10037,2004,506652.604166667
10037,2005,3551376.63636364
10037,2006,1756960.63043478
10037,2007,756933.805555556
10037,2008,374933.428571429
10037,2009,653556.181818182
10037,2010,5964978.66666667
10037,2011,2677341
10037,2012,667995.3
10037,2013,516074.671232877
10037,2014,531580.380952381
10038,2003,753263.243055556
10038,2004,1197719.35714286
10038,2005,1932411.54054054
10038,2006,1084009.58762887
10038,2007,1052493.93536122
10038,2008,823563.649068323
10038,2009,666540.710691824
10038,2010,2520040.17647059
10038,2011,1089873.65
10038,2012,3754975.41237113
10038,2013,1181399.42391304
10038,2014,1685623.98672566
10039,2003,1491631.61538462
10039,2004,2447734
10039,2005,6551605.27777778
10039,2006,953478.652173913
10039,2007,884523.436046512
10039,2008,1403432.85
10039,2009,1141145.30769231
10039,2010,1943566.25531915
10039,2011,1149956.67948718
10039,2012,573951.161290323
10039,2013,3214856.8
10039,2014,1095122.19512195
10040,2003,1595785.24137931
10040,2004,1201411.33333333
10040,2005,2157300.62962963
10040,2006,3645809.82608696
10040,2007,4688819.8
10040,2008,4246777.03703704
10040,2009,1235539.13043478
10040,2010,1831714.28571429
10040,2011,1445230.1875
10040,2012,2026266.96666667
10040,2013,4338521.08888889
10040,2014,4558553.93103448
10044,2003,0
10044,2006,478504.87804878
10044,2007,602914.465346535
10044,2008,524972.75
10044,2009,645283.53030303
10044,2010,633936.026315789
10044,2011,686189.380952381
10044,2012,674218.170731707
10044,2013,914528.62962963
10044,2014,826500
10065,2005,1750000
10065,2006,7096128
10065,2007,2363227.69607843
10065,2008,1111050.44976636
10065,2009,1906805.4229249
10065,2010,2439409.05576208
10065,2011,2789476.87632509
10065,2012,1322245.20325203
10065,2013,2932803.77521008
10065,2014,5904203.25172414
10069,2003,973707.758024691
10069,2004,1188669.49006623
10069,2005,3964672.80603448
10069,2006,1871332.16546763
10069,2007,1707136.07843137
10069,2008,1608800.57358491
10069,2009,1546527.93142857
10069,2010,1793908.75348837
10069,2011,1872407.37394958
10069,2012,1872113.14760148
10069,2013,3222537.60995851
10069,2014,1901178.61417323
10075,2003,0
10075,2004,500000
10075,2005,832512.5
10075,2006,0
10075,2007,1260825.37209302
10075,2008,1926707.91240876
10075,2009,1326267.38311688
10075,2010,1647605.5
10075,2011,1565383.05142857
10075,2012,2103155.14009662
10075,2013,3013290.38427948
10075,2014,2424754.41836735
10128,2003,469424.413133832
10128,2004,1264158.33789062
10128,2005,1396353.38284519
10128,2006,1306091.38267148
10128,2007,1317453.02995392
10128,2008,1901427.76307692
10128,2009,1398991.14
10128,2010,1317193.73758865
10128,2011,2044162.18852459
10128,2012,1936526.85579937
10128,2013,1675513.27863777
10128,2014,3916731.26102941
10129,2013,4850000
10129,2014,4800000
10280,2003,339612.386666667
10280,2004,451292.411764706
10280,2005,662770.946524064
10280,2006,654819.564748201
10280,2007,684451.770428016
10280,2008,979754.99380805
10280,2009,1339826.30625
10280,2010,1014267.96103896
10280,2011,999084.781690141
10280,2012,951059.755274262
10280,2013,1007083.61752988
10280,2014,1294723.82634731
10282,2008,2534868.68421053
10282,2009,2526650.33333333
10282,2010,2383716.94736842
10282,2012,2498981.25
10282,2014,2947500
10301,2003,222717.762589928
10301,2004,344658.647492625
10301,2005,331725.071646341
10301,2006,346727.737704918
10301,2007,350272.617834395
10301,2008,297309.469483568
10301,2009,232090.372151899
10301,2010,255336.783715013
10301,2011,288983.448630137
10301,2012,250721.142857143
10301,2013,288394.964200477
10301,2014,260543.290322581
10302,2003,178567.6
10302,2004,206213.756592292
10302,2005,250597.24726477
10302,2006,339074.442408377
10302,2007,250420.326315789
10302,2008,196637.038626609
10302,2009,195443.75862069
10302,2010,193863.776536313
10302,2011,200997.463087248
10302,2012,160599.967105263
10302,2013,233558.270935961
10302,2014,211950.505747126
10303,2003,187634.689504373
10303,2004,206752.945205479
10303,2005,242797.820181113
10303,2006,264883.324717286
10303,2007,352387.995423341
10303,2008,200394.723529412
10303,2009,200533.822629969
10303,2010,192768.826446281
10303,2011,167424.28313253
10303,2012,151130.623809524
10303,2013,169994.836206897
10303,2014,192553.721052632
10304,2003,223114.610789981
10304,2004,266615.51371807
10304,2005,304674.608531995
10304,2006,333909.084
10304,2007,339293.749598716
10304,2008,295167.091976517
10304,2009,221509.46713615
10304,2010,287327.342783505
10304,2011,288771.442906574
10304,2012,275975.809264305
10304,2013,366735.770526316
10304,2014,286559.426934097
10305,2003,199021.879406308
10305,2004,263809.024485798
10305,2005,298101.961098398
10305,2006,296466.024516129
10305,2007,354486.284731774
10305,2008,228062.605454545
10305,2009,229965.027667984
10305,2010,234887.630390144
10305,2011,301892.290575916
10305,2012,213319.883826879
10305,2013,208252.845714286
10305,2014,253045.048837209
10306,2003,222037.1443769
10306,2004,259550.931564246
10306,2005,309367.903174603
10306,2006,304093.357080799
